Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:23:29,2018-10-21 01:24:29,59.675s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:23:30,2018-10-21 01:24:07,36.986s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:23:30,2018-10-21 01:23:47,16.933s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:23:47,2018-10-21 01:24:00,12.526s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:24:00,2018-10-21 01:24:02,2.881s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:24:02,2018-10-21 01:24:03,0.605s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:24:03,2018-10-21 01:24:03,0.226s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:24:03,2018-10-21 01:24:06,2.887s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:24:07,2018-10-21 01:24:28,21.055s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:24:07,2018-10-21 01:24:18,11.415s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:24:18,2018-10-21 01:24:26,8.208s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:24:26,2018-10-21 01:24:27,0.309s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:24:27,2018-10-21 01:24:27,0.359s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:24:27,2018-10-21 01:24:27,0.255s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:24:27,2018-10-21 01:24:28,0.449s,FAILED
