Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:27:23,2018-10-21 01:27:57,33.698s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:27:24,2018-10-21 01:27:53,28.699s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:27:25,2018-10-21 01:27:32,7.590s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:27:32,2018-10-21 01:27:42,9.645s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:27:42,2018-10-21 01:27:43,1.272s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:27:43,2018-10-21 01:27:43,0.298s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:27:43,2018-10-21 01:27:45,1.792s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:27:45,2018-10-21 01:27:52,6.873s,FAILED
