Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 21:38:08,2018-10-21 21:38:28,19.354s,ERROR
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 21:38:09,2018-10-21 21:38:27,17.721s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 21:38:09,2018-10-21 21:38:13,4.011s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 21:38:13,2018-10-21 21:38:20,6.601s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:38:20,2018-10-21 21:38:21,0.427s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:38:21,2018-10-21 21:38:21,0.198s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:38:21,2018-10-21 21:38:21,0.292s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:38:21,2018-10-21 21:38:26,5.233s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:38:26,2018-10-21 21:38:27,0.258s,PASSED
Statement - driver = DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-10-21 21:38:27,2018-10-21 21:38:27,0.005s,PASSED
