Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 23:23:25,2018-10-21 23:23:53,28.450s,ERROR
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 23:23:25,2018-10-21 23:23:52,26.845s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 23:23:26,2018-10-21 23:23:34,8.060s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 23:23:34,2018-10-21 23:23:44,9.896s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:23:44,2018-10-21 23:23:44,0.544s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:23:44,2018-10-21 23:23:45,0.281s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:23:45,2018-10-21 23:23:46,1.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:23:46,2018-10-21 23:23:51,5.389s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:23:51,2018-10-21 23:23:52,0.429s,PASSED
selectOptionByIndex,Chrome 69.0.3497.100,,2018-10-21 23:23:52,2018-10-21 23:23:52,0.016s,PASSED
