Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-22 00:11:11,2018-10-22 00:11:38,26.873s,PASSED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-22 00:11:12,2018-10-22 00:11:37,25.324s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:11:12,2018-10-22 00:11:16,3.721s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 00:11:16,2018-10-22 00:11:22,6.518s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:11:22,2018-10-22 00:11:23,0.450s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:11:23,2018-10-22 00:11:23,0.195s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:23,2018-10-22 00:11:23,0.196s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:23,2018-10-22 00:11:29,5.297s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:29,2018-10-22 00:11:29,0.291s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:29,2018-10-22 00:11:29,0.385s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:29,2018-10-22 00:11:30,0.306s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:11:30,2018-10-22 00:11:30,0.636s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:11:30,2018-10-22 00:11:31,0.916s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-22 00:11:31,2018-10-22 00:11:36,5.048s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:36,2018-10-22 00:11:36,0.144s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:11:36,2018-10-22 00:11:37,0.428s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:11:37,2018-10-22 00:11:37,0.147s,PASSED
