Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:05:36,2018-10-21 01:06:01,24.527s,PASSED
,,,,,,
Test Cases/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:05:37,2018-10-21 01:05:57,20.159s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:05:38,2018-10-21 01:05:43,5.054s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:05:43,2018-10-21 01:05:54,11.380s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:05:54,2018-10-21 01:05:55,1.039s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:05:55,2018-10-21 01:05:56,0.516s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:05:56,2018-10-21 01:05:57,1.585s,PASSED
