Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-22 00:00:59,2018-10-22 00:01:39,39.966s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-22 00:01:00,2018-10-22 00:01:38,38.485s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:01:00,2018-10-22 00:01:06,5.625s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 00:01:06,2018-10-22 00:01:22,15.806s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:01:22,2018-10-22 00:01:26,3.852s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:01:26,2018-10-22 00:01:26,0.194s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:26,2018-10-22 00:01:27,0.792s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:27,2018-10-22 00:01:34,7.764s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:34,2018-10-22 00:01:35,0.304s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:35,2018-10-22 00:01:35,0.576s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:35,2018-10-22 00:01:35,0.251s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:01:35,2018-10-22 00:01:36,0.572s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:01:36,2018-10-22 00:01:37,0.934s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:37,2018-10-22 00:01:37,0.128s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:01:37,2018-10-22 00:01:38,0.547s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:01:38,2018-10-22 00:01:38,0.502s,FAILED
