Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 22:27:57,2018-10-21 22:28:50,52.386s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 22:27:58,2018-10-21 22:28:49,50.675s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 22:27:59,2018-10-21 22:28:03,4.038s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 22:28:03,2018-10-21 22:28:10,7.297s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:28:10,2018-10-21 22:28:10,0.382s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:28:10,2018-10-21 22:28:11,0.203s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:28:11,2018-10-21 22:28:11,0.194s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:28:11,2018-10-21 22:28:16,5.549s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:28:16,2018-10-21 22:28:17,0.204s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-21 22:28:17,2018-10-21 22:28:49,32.210s,FAILED
