Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:49:43,2018-10-21 01:50:10,26.671s,PASSED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:49:44,2018-10-21 01:50:10,26.022s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:49:44,2018-10-21 01:49:49,4.368s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:49:49,2018-10-21 01:49:58,9.779s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:49:58,2018-10-21 01:50:00,2.058s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:50:00,2018-10-21 01:50:01,0.859s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:50:01,2018-10-21 01:50:02,0.303s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-21 01:50:02,2018-10-21 01:50:08,6.497s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 01:50:08,2018-10-21 01:50:10,1.548s,PASSED
