Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 22:26:19,2018-10-21 22:27:16,57.459s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 22:26:19,2018-10-21 22:27:15,56.020s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 22:26:20,2018-10-21 22:26:24,4.236s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 22:26:24,2018-10-21 22:26:30,5.927s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:26:30,2018-10-21 22:26:31,0.383s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:26:31,2018-10-21 22:26:31,0.186s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:26:31,2018-10-21 22:26:31,0.236s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:26:31,2018-10-21 22:26:40,8.720s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:26:40,2018-10-21 22:26:43,3.480s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-21 22:26:43,2018-10-21 22:27:15,32.272s,FAILED
