Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 22:36:33,2018-10-21 22:36:57,24.157s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 22:36:33,2018-10-21 22:36:56,22.473s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 22:36:34,2018-10-21 22:36:38,4.379s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 22:36:38,2018-10-21 22:36:47,8.330s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:36:47,2018-10-21 22:36:47,0.632s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:36:47,2018-10-21 22:36:48,0.487s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:36:48,2018-10-21 22:36:48,0.444s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:36:48,2018-10-21 22:36:54,6.118s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:36:54,2018-10-21 22:36:55,0.439s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:36:55,2018-10-21 22:36:56,0.929s,FAILED
