Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_AddShop,Chrome 69.0.3497.100,,2018-10-22 00:36:27,2018-10-22 00:37:18,51.477s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-22 00:36:27,2018-10-22 00:37:16,48.600s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:36:28,2018-10-22 00:36:40,11.816s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 00:36:40,2018-10-22 00:36:54,14.355s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:36:54,2018-10-22 00:36:58,3.351s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:36:58,2018-10-22 00:37:00,2.130s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:37:00,2018-10-22 00:37:03,2.932s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:37:03,2018-10-22 00:37:08,5.489s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:37:08,2018-10-22 00:37:09,0.400s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:37:09,2018-10-22 00:37:15,6.227s,FAILED
