Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:39:23,2018-10-21 01:40:01,38.699s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:39:23,2018-10-21 01:40:00,36.975s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:39:24,2018-10-21 01:39:32,8.472s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:39:32,2018-10-21 01:39:52,19.571s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:39:52,2018-10-21 01:39:54,2.487s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:39:54,2018-10-21 01:39:57,2.817s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:39:57,2018-10-21 01:39:58,1.032s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:39:58,2018-10-21 01:40:00,1.770s,FAILED
