Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 02:26:44,2018-10-21 02:28:16,1m - 32.119s,FAILED
,,,,,,
Test Cases/Login/Login,Chrome 69.0.3497.100,,2018-10-21 02:26:44,2018-10-21 02:27:15,30.311s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 02:26:45,2018-10-21 02:26:55,10.440s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 02:26:55,2018-10-21 02:27:02,6.606s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 02:27:02,2018-10-21 02:27:02,0.397s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 02:27:02,2018-10-21 02:27:03,0.317s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 02:27:03,2018-10-21 02:27:03,0.181s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-21 02:27:03,2018-10-21 02:27:11,8.353s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 02:27:11,2018-10-21 02:27:15,3.436s,PASSED
,,,,,,
Test Cases/Login/Login,Chrome 69.0.3497.100,,2018-10-21 02:27:15,2018-10-21 02:28:05,50.431s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 02:27:15,2018-10-21 02:27:18,3.303s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 02:27:18,2018-10-21 02:27:29,11.112s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 02:27:29,2018-10-21 02:27:29,0.250s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 02:27:29,2018-10-21 02:27:30,0.632s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 02:27:30,2018-10-21 02:27:30,0.201s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-21 02:27:30,2018-10-21 02:28:05,34.831s,FAILED
,,,,,,
Test Cases/Login/OpenUrl,Chrome 69.0.3497.100,,2018-10-21 02:28:05,2018-10-21 02:28:16,10.779s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 02:28:05,2018-10-21 02:28:09,3.708s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 02:28:09,2018-10-21 02:28:15,5.905s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 02:28:15,2018-10-21 02:28:15,0.114s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 02:28:15,2018-10-21 02:28:16,0.765s,PASSED
