Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 02:20:35,2018-10-21 02:21:16,41.549s,ERROR
,,,,,,
Test Cases/Login/Login,Chrome 69.0.3497.100,,2018-10-21 02:20:35,2018-10-21 02:20:51,15.831s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 02:20:36,2018-10-21 02:20:51,15.191s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 02:20:51,2018-10-21 02:20:51,0.008s,PASSED
,,,,,,
Test Cases/Login/OpenUrl,Chrome 69.0.3497.100,,2018-10-21 02:20:51,2018-10-21 02:21:16,25.138s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 02:20:51,2018-10-21 02:20:55,4.126s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 02:20:55,2018-10-21 02:21:13,17.251s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 02:21:13,2018-10-21 02:21:13,0.482s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 02:21:13,2018-10-21 02:21:16,3.014s,PASSED
