Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 21:42:34,2018-10-21 21:42:52,18.046s,ERROR
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 21:42:35,2018-10-21 21:42:52,16.575s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 21:42:36,2018-10-21 21:42:40,3.904s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 21:42:40,2018-10-21 21:42:45,5.131s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:42:45,2018-10-21 21:42:46,0.415s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:42:46,2018-10-21 21:42:46,0.276s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:42:46,2018-10-21 21:42:46,0.228s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:42:46,2018-10-21 21:42:51,5.099s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:42:51,2018-10-21 21:42:52,0.313s,PASSED
Statement - driver = DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-10-21 21:42:52,2018-10-21 21:42:52,0.005s,PASSED
