Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 21:07:01,2018-10-21 21:08:02,1m - 1.324s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 21:07:01,2018-10-21 21:08:00,58.646s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 21:07:02,2018-10-21 21:07:12,9.333s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 21:07:12,2018-10-21 21:07:15,3.726s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 21:07:15,2018-10-21 21:07:22,6.741s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:07:22,2018-10-21 21:07:23,0.462s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:07:23,2018-10-21 21:07:23,0.238s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:07:23,2018-10-21 21:07:23,0.302s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:07:23,2018-10-21 21:07:28,4.748s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-21 21:07:28,2018-10-21 21:08:00,32.286s,FAILED
