Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 23:55:22,2018-10-21 23:56:01,38.977s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 23:55:22,2018-10-21 23:55:59,36.655s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 23:55:23,2018-10-21 23:55:29,6.413s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 23:55:29,2018-10-21 23:55:43,14.021s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:55:43,2018-10-21 23:55:44,0.614s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:55:44,2018-10-21 23:55:44,0.316s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:44,2018-10-21 23:55:45,0.218s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:45,2018-10-21 23:55:55,9.878s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:55,2018-10-21 23:55:55,0.228s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:55,2018-10-21 23:55:55,0.556s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:55,2018-10-21 23:55:56,0.311s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:55:56,2018-10-21 23:55:57,1.144s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:55:57,2018-10-21 23:55:58,0.817s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 23:55:58,2018-10-21 23:55:58,0.524s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 23:55:58,2018-10-21 23:55:59,0.940s,FAILED
