Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 21:39:49,2018-10-21 21:40:12,23.172s,ERROR
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 21:39:50,2018-10-21 21:40:11,21.549s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 21:39:50,2018-10-21 21:39:54,3.832s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 21:39:54,2018-10-21 21:40:01,6.762s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:40:01,2018-10-21 21:40:01,0.283s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 21:40:01,2018-10-21 21:40:02,0.336s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:40:02,2018-10-21 21:40:02,0.175s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:40:02,2018-10-21 21:40:10,8.786s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 21:40:10,2018-10-21 21:40:11,0.746s,PASSED
Statement - driver = DriverFactory.getWebDriver(),Chrome 69.0.3497.100,,2018-10-21 21:40:11,2018-10-21 21:40:11,0.004s,PASSED
