Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:00:08,2018-10-21 01:00:55,47.247s,FAILED
,,,,,,
Test Cases/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:00:08,2018-10-21 01:00:53,45.042s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:00:09,2018-10-21 01:00:31,21.784s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:00:31,2018-10-21 01:00:47,16.664s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:00:47,2018-10-21 01:00:51,3.917s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:00:51,2018-10-21 01:00:53,1.482s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:00:53,2018-10-21 01:00:53,0.232s,PASSED
verifyCheckpoint,Chrome 69.0.3497.100,,2018-10-21 01:00:53,2018-10-21 01:00:53,0.036s,PASSED
