Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:43:01,2018-10-21 01:43:18,16.869s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:43:02,2018-10-21 01:43:17,15.267s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:43:03,2018-10-21 01:43:11,7.838s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:43:11,2018-10-21 01:43:15,4.981s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:43:15,2018-10-21 01:43:16,0.627s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:43:16,2018-10-21 01:43:16,0.199s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:43:16,2018-10-21 01:43:17,0.195s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:43:17,2018-10-21 01:43:17,0.645s,FAILED
