Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Chrome 69.0.3497.100,,2018-10-21 22:15:57,2018-10-21 22:16:24,27.658s,ERROR
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-21 22:15:57,2018-10-21 22:16:21,23.978s,ERROR
openBrowser,Chrome 69.0.3497.100,,2018-10-21 22:15:58,2018-10-21 22:16:01,3.548s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 22:16:01,2018-10-21 22:16:07,5.828s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:16:07,2018-10-21 22:16:08,0.503s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 22:16:08,2018-10-21 22:16:08,0.653s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:16:08,2018-10-21 22:16:09,0.258s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:16:09,2018-10-21 22:16:17,8.732s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 22:16:17,2018-10-21 22:16:21,3.501s,PASSED
setAlertText,Chrome 69.0.3497.100,,2018-10-21 22:16:21,2018-10-21 22:16:21,0.149s,PASSED
