Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:33:42,2018-10-21 01:34:19,37.033s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:33:43,2018-10-21 01:34:12,29.294s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:33:43,2018-10-21 01:33:48,4.489s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:33:48,2018-10-21 01:34:00,11.933s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:34:00,2018-10-21 01:34:04,4.364s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:34:04,2018-10-21 01:34:05,0.384s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:34:05,2018-10-21 01:34:06,1.678s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:34:06,2018-10-21 01:34:11,4.923s,FAILED
,,,,,,
Test Cases/Login/LoginWithValidCreds,Chrome 69.0.3497.100,,2018-10-21 01:34:12,2018-10-21 01:34:18,6.162s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:34:12,2018-10-21 01:34:18,5.534s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:34:18,2018-10-21 01:34:18,0.533s,FAILED
